iata_code,name,lat,lon,reisezeit_stunden,anzahl_umstiege
LHR,London Heathrow Airport,51.4706,-0.461941,0.0,0
LGW,London Gatwick Airport,51.148102,-0.190278,0.0,0
LCY,London City Airport,51.505299,0.055278,0.0,0
STN,London Stansted Airport,51.8849983215,0.234999999404,0.0,0
LTN,London Luton Airport,51.874698638916016,-0.3683330118656158,0.0,0
DOL,Deauville-Saint-Gatien Airport,49.3652992249,0.154305994511,2.3,0
MAN,Manchester Airport,53.35369873046875,-2.2749500274658203,2.3,0
GCI,Guernsey Airport,49.435001373291016,-2.601969957351685,2.32,0
JER,Jersey Airport,49.20790100097656,-2.195509910583496,2.32,0
LBA,Leeds Bradford Airport,53.86589813232422,-1.6605700254440308,2.35,0
RTM,Rotterdam The Hague Airport,51.956902,4.43722,2.38,0
CDG,Charles de Gaulle International Airport,49.012798,2.55,2.38,0
ANR,Antwerp International Airport (Deurne),51.1893997192,4.46027994156,2.38,0
AMS,Amsterdam Airport Schiphol,52.308601,4.76389,2.39,0
BRU,Brussels Airport,50.9014015198,4.48443984985,2.41,0
NQY,Newquay Cornwall Airport,50.44060134887695,-4.995409965515137,2.43,0
ORY,Paris-Orly Airport,48.7233333,2.3794444,2.44,0
EIN,Eindhoven Airport,51.4500999451,5.37452983856,2.44,0
DNR,Dinard-Pleurtuit-Saint-Malo Airport,48.58769989013672,-2.0799601078033447,2.5,0
NCL,Newcastle Airport,55.037498474121094,-1.6916699409484863,2.5,0
NRN,Weeze Airport,51.6024017334,6.14216995239,2.51,0
IOM,Isle of Man Airport,54.08330154418945,-4.623889923095703,2.53,0
DUB,Dublin Airport,53.421299,-6.27007,2.54,0
DUS,Düsseldorf Airport,51.289501,6.76678,2.57,0
NTE,Nantes Atlantique Airport,47.153198242200006,-1.61073005199,2.57,0
BES,Brest Bretagne Airport,48.447898864746094,-4.418540000915527,2.58,0
LUX,Luxembourg-Findel International Airport,49.6233333,6.2044444,2.6,0
CGN,Cologne Bonn Airport,50.8658981323,7.1427397728,2.61,0
EDI,Edinburgh Airport,55.95000076293945,-3.372499942779541,2.61,0
TUF,Tours-Val-de-Loire Airport,47.4322013855,0.727605998516,2.62,0
BFS,Belfast International Airport,54.6575012207,-6.2158298492399995,2.62,0
BHD,George Best Belfast City Airport,54.61809921264648,-5.872499942779541,2.63,0
DTM,Dortmund Airport,51.51829910279999,7.61223983765,2.63,0
GLA,Glasgow International Airport,55.8718986511,-4.43306016922,2.64,0
HHN,Frankfurt-Hahn Airport,49.9487,7.26389,2.67,0
DND,Dundee Airport,56.45249938964844,-3.025830030441284,2.68,0
ORK,Cork Airport,51.84130096435547,-8.491109848022461,2.69,0
PIS,Poitiers-Biard Airport,46.58769989013672,0.3066659867763519,2.73,0
BRE,Bremen Airport,53.0475006104,8.78666973114,2.74,0
SNN,Shannon Airport,52.702,-8.92482,2.74,0
LDY,City of Derry Airport,55.04280090332031,-7.161109924316406,2.75,0
ABZ,Aberdeen Dyce Airport,57.201900482177734,-2.197779893875122,2.75,0
NOC,Ireland West Knock Airport,53.910301208496094,-8.818490028381348,2.76,0
FRA,Frankfurt am Main Airport,50.033333,8.570556,2.77,0
KIR,Kerry Airport,52.18090057373047,-9.52377986907959,2.78,0
SXB,Strasbourg Airport,48.538299560546875,7.628230094909668,2.78,0
LRH,La Rochelle-Île de Ré Airport,46.17919921875,-1.1952799558639526,2.8,0
HAJ,Hannover Airport,52.461101532,9.68507957458,2.8,0
FKB,Karlsruhe Baden-Baden Airport,48.7793998718,8.08049964905,2.81,0
INV,Inverness Airport,57.54249954223633,-4.047500133514404,2.84,0
LIG,Limoges Airport,45.86280059814453,1.1794400215148926,2.84,0
BSL,EuroAirport Basel-Mulhouse-Freiburg Airport,47.59,7.5291667,2.85,0
BOD,Bordeaux-Mérignac Airport,44.8283004761,-0.715556025505,2.87,0
GVA,Geneva Cointrin International Airport,46.23809814453125,6.108950138092041,2.89,0
LYS,Lyon Saint-Exupéry Airport,45.725556,5.081111,2.89,0
HAM,Hamburg Airport,53.630401611328,9.9882297515869,2.9,0
BLL,Billund Airport,55.7402992249,9.15178012848,2.9,0
BVE,Brive Souillac Airport,45.039722,1.485556,2.9,0
STR,Stuttgart Airport,48.689899444599995,9.22196006775,2.91,0
BRN,Bern Belp Airport,46.914100647,7.497149944309999,2.92,0
ZRH,Zürich Airport,47.464699,8.54917,2.94,0
ERF,Erfurt Airport,50.97980117797851,10.958100318908691,2.97,0
EGC,Bergerac-Roumanière Airport,44.82529830932617,0.5186110138893127,2.98,0
NUE,Nuremberg Airport,49.498699,11.078056,3.0,0
LEJ,Leipzig/Halle Airport,51.423889,12.236389,3.03,0
AAR,Aarhus Airport,56.2999992371,10.619000434899998,3.04,0
FMM,Memmingen Allgau Airport,47.988800048799995,10.2395000458,3.04,0
TLS,Toulouse-Blagnac Airport,43.629101,1.36382,3.05,0
RDZ,Rodez-Marcillac Airport,44.407901763916016,2.4826700687408447,3.05,0
TRN,Turin Airport,45.200802,7.64963,3.09,0
HAU,Haugesund Airport,59.34529876709,5.2083601951599,3.1,0
MPL,Montpellier-Méditerranée Airport,43.57619857788086,3.96301007270813,3.12,0
MXP,Malpensa International Airport,45.6306,8.72811,3.12,0
SXF,Berlin-Schönefeld Airport,52.380001,13.5225,3.13,0
SVG,Stavanger Airport Sola,58.876701354,5.6377801895,3.13,0
MUC,Munich Airport,48.353802,11.7861,3.13,0
CPH,Copenhagen Kastrup Airport,55.617900848389,12.656000137329,3.14,0
BIO,Bilbao Airport,43.30110168457031,-2.9106099605560303,3.15,0
AAL,Aalborg Airport,57.0927589138,9.84924316406,3.15,0
INN,Innsbruck Airport,47.260201,11.344,3.17,0
LIN,Milano Linate Airport,45.445099,9.27674,3.17,0
BIQ,Biarritz-Anglet-Bayonne Airport,43.4683333,-1.5311111,3.17,0
TXL,Berlin-Tegel Airport,52.5597,13.2877,3.18,0
MRS,Marseille Provence Airport,43.439271922,5.22142410278,3.18,0
DRS,Dresden Airport,51.1328010559082,13.767200469970703,3.18,0
MMX,Malmö Sturup Airport,55.536305364,13.3761978149,3.18,0
LDE,Tarbes-Lourdes-Pyrénées Airport,43.1786994934082,-0.0064389999024569,3.2,0
FNI,Nîmes-Arles-Camargue Airport,43.75740051269531,4.4163498878479,3.21,0
CCF,Carcassonne Airport,43.21599960327149,2.3063199520111084,3.21,0
BGY,Il Caravaggio International Airport,45.673901,9.70417,3.21,0
SDR,Santander Airport,43.427101135253906,-3.82000994682312,3.23,0
GSE,Gothenburg City Airport,57.7747,11.8704,3.23,0
BZR,Béziers-Vias Airport,43.32350158691406,3.3538999557495117,3.23,0
PRG,Václav Havel Airport Prague,50.1008,14.26,3.24,0
NCE,Nice-Côte d'Azur Airport,43.6584014893,7.215869903560001,3.24,0
